Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Metro m2;Tipo Agregado
Conjunto Comercial/Sala;Flamengo;0;0;0;15;850.0;622.0;165.0;56.67;Apartamento
Apartamento;Barra da Tijuca;3;2;3;156;5500.0;2300.0;398.0;35.26;Apartamento
Conjunto Comercial/Sala;Botafogo;0;3;0;90;5900.0;2220.0;0.0;65.56;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;65;2200.0;595.0;500.0;33.85;Apartamento
Apartamento;Flamengo;1;0;1;38;1450.0;690.0;55.0;38.16;Apartamento
Apartamento;Botafogo;2;0;0;115;2200.0;1045.0;190.0;19.13;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;2;0;25;800.0;364.0;172.0;32.0;Apartamento
Apartamento;Tijuca;2;0;0;49;1800.0;180.0;0.0;36.73;Apartamento
Terreno Padrão;Penha;0;0;0;721;4000.0;0.0;611.0;5.55;Apartamento
Apartamento;Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0;23.75;Apartamento
Apartamento;Copacabana;2;0;0;120;3800.0;1000.0;197.0;31.67;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0;25.71;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;21;800.0;306.0;56.0;38.1;Apartamento
Loja/Salão;Santa Cruz;0;0;0;42;1000.0;0.0;0.0;23.81;Apartamento
Apartamento;Bonsucesso;3;1;0;98;2800.0;390.0;0.0;28.57;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;0.0;46.29;Apartamento
Apartamento;Flamengo;2;1;0;90;3200.0;980.0;0.0;35.56;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;24;800.0;400.0;90.0;33.33;Apartamento
Apartamento;Ipanema;2;0;0;99;3300.0;920.0;0.0;33.33;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;42;700.0;515.0;83.0;16.67;Apartamento
Apartamento;Copacabana;3;1;0;80;3100.0;700.0;1208.0;38.75;Apartamento
Apartamento;Copacabana;2;1;0;74;2600.0;1021.0;0.0;35.14;Apartamento
Apartamento;Humaitá;2;1;0;75;2900.0;926.0;90.0;38.67;Apartamento
Apartamento;Barra da Tijuca;4;3;4;250;9500.0;2800.0;523.0;38.0;Apartamento
Loja/Salão;Centro;0;0;0;530;12000.0;7435.0;1750.0;22.64;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;770.0;108.0;20.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;4;1;217;3300.0;947.0;547.0;15.21;Apartamento
Apartamento;Ipanema;4;1;3;250;12000.0;2300.0;1037.0;48.0;Apartamento
Casa;Campo Grande;2;1;2;100;1500.0;0.0;30.0;15.0;Casa
Apartamento;São Conrado;3;2;1;140;4700.0;1620.0;515.0;33.57;Apartamento
Apartamento;Barra da Tijuca;4;3;2;260;7500.0;3550.0;350.0;28.85;Apartamento
Apartamento;Laranjeiras;2;0;0;85;2100.0;700.0;95.0;24.71;Apartamento
Apartamento;Rio Comprido;2;1;0;69;1900.0;600.0;70.0;27.54;Apartamento
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;1050.0;580.0;36.0;21.43;Apartamento
Apartamento;Andaraí;2;1;0;56;1900.0;607.0;89.0;33.93;Apartamento
Casa;Vargem Grande;2;1;0;70;1900.0;580.0;25.0;27.14;Casa
Box/Garagem;Centro;0;1;0;0;100.0;0.0;0.0;inf;Apartamento
Apartamento;Ipanema;4;3;4;480;39000.0;9400.0;0.0;81.25;Apartamento
Apartamento;Barra da Tijuca;4;3;3;180;7000.0;1935.0;449.0;38.89;Apartamento
Apartamento;Copacabana;2;0;0;81;3000.0;770.0;159.0;37.04;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2400.0;1313.0;0.0;27.27;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;125;7000.0;5000.0;1100.0;56.0;Apartamento
Apartamento;Vargem Pequena;2;1;1;80;1100.0;650.0;0.0;13.75;Apartamento
Casa de Condomínio;Tanque;2;0;1;100;1500.0;160.0;80.0;15.0;Casa
Apartamento;Ipanema;3;3;3;169;9000.0;2300.0;886.0;53.25;Apartamento
Apartamento;Flamengo;4;2;2;423;12000.0;3795.0;1253.0;28.37;Apartamento
Loja Shopping/ Ct Comercial;Barra da Tijuca;0;2;0;88;2500.0;4500.0;1544.0;28.41;Apartamento
Conjunto Comercial/Sala;Leblon;0;0;0;120;20000.0;2400.0;0.0;166.67;Apartamento
Apartamento;Quintino Bocaiúva;2;0;0;67;900.0;320.0;0.0;13.43;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;45;1100.0;1000.0;1.0;24.44;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;2;0;44;1500.0;949.0;52.0;34.09;Apartamento
Loja Shopping/ Ct Comercial;Ipanema;0;2;0;25;5000.0;0.0;150.0;200.0;Apartamento
Apartamento;Leblon;3;1;0;74;3300.0;700.0;83.0;44.59;Apartamento
Apartamento;Copacabana;2;0;0;110;2800.0;800.0;120.0;25.45;Apartamento
Apartamento;Leme;1;0;0;31;1140.0;420.0;24.0;36.77;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;36;1600.0;780.0;80.0;44.44;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;90;1500.0;720.0;199.0;16.67;Apartamento
Conjunto Comercial/Sala;Ipanema;0;0;0;32;1700.0;750.0;0.0;53.12;Apartamento
